"sup_cod_id","wk_type","pdn_date","pdn_unit_price","pdn_quantity","pdn_amount_paid","pdn_total_amount","pdn_num_week","pdn_year","pdn_month","pdn_day"
SUP0020009,Productor,"2021-12-27",0.44,"0.06",0,0.0264,52,2021,12,27
SUP0070043,Productor,"2021-12-27",0.4,"0.1",0,0.04000000000000001,52,2021,12,27
SUP0080045,Productor,"2021-12-27",0.4,"0.1",0,0.04000000000000001,52,2021,12,27
SUP0140044,Productor,"2021-12-27",0.46,"0.04",0,0.0184,52,2021,12,27
SUP0090081,Productor,"2021-12-27",0.4,"0.1",0,0.04000000000000001,52,2021,12,27
SUP0100080,Productor,"2021-12-27",0.4,"0.1",0,0.04000000000000001,52,2021,12,27
SUP0020009,Productor,"2021-12-28",0.44,"115",0,50.6,52,2021,12,28
SUP0040040,Transporte,"2021-12-28",0.04,"181",0,7.24,52,2021,12,28
SUP0070043,Productor,"2021-12-28",0.4,"40",0,16.0,52,2021,12,28
SUP0080045,Productor,"2021-12-28",0.4,"45",0,18.0,52,2021,12,28
SUP0140044,Productor,"2021-12-28",0.46,"70",0,32.2,52,2021,12,28
SUP0090081,Productor,"2021-12-28",0.4,"52",0,20.8,52,2021,12,28
SUP0110083,Productor,"2021-12-28",0.6,"364",0,218.4,52,2021,12,28
SUP0120053,Productor,"2021-12-28",0.58,"163",0,94.53999999999999,52,2021,12,28
SUP0170068,Productor,"2021-12-28",0.56,"547",0,306.32000000000005,52,2021,12,28
SUP0170068,Productor,"2021-12-28",0.04,"547",0,21.88,52,2021,12,28
SUP0020009,Productor,"2021-12-29",0.44,"120",0,52.8,52,2021,12,29
SUP0040040,Transporte,"2021-12-29",0.04,"210",0,8.4,52,2021,12,29
SUP0070043,Productor,"2021-12-29",0.4,"40",0,16.0,52,2021,12,29
SUP0080045,Productor,"2021-12-29",0.4,"46",0,18.400000000000002,52,2021,12,29
SUP0140044,Productor,"2021-12-29",0.46,"68",0,31.28,52,2021,12,29
SUP0090081,Productor,"2021-12-29",0.4,"50",0,20.0,52,2021,12,29
SUP0100080,Productor,"2021-12-29",0.4,"33",0,13.200000000000001,52,2021,12,29
SUP0110083,Productor,"2021-12-29",0.6,"351",0,210.6,52,2021,12,29
SUP0120053,Productor,"2021-12-29",0.58,"164",0,95.11999999999999,52,2021,12,29
SUP0170068,Productor,"2021-12-29",0.56,"271",0,151.76000000000002,52,2021,12,29
SUP0170068,Productor,"2021-12-29",0.04,"271",0,10.84,52,2021,12,29
SUP0020009,Productor,"2021-12-30",0.44,"116",0,51.04,52,2021,12,30
SUP0040040,Transporte,"2021-12-30",0.04,"186",0,7.44,52,2021,12,30
SUP0070043,Productor,"2021-12-30",0.4,"40",0,16.0,52,2021,12,30
SUP0080045,Productor,"2021-12-30",0.4,"38",0,15.200000000000001,52,2021,12,30
SUP0140044,Productor,"2021-12-30",0.46,"68",0,31.28,52,2021,12,30
SUP0090081,Productor,"2021-12-30",0.4,"52",0,20.8,52,2021,12,30
SUP0100080,Productor,"2021-12-30",0.4,"33",0,13.200000000000001,52,2021,12,30
SUP0110083,Productor,"2021-12-30",0.6,"377",0,226.2,52,2021,12,30
SUP0120053,Productor,"2021-12-30",0.58,"162",0,93.96,52,2021,12,30
SUP0170068,Productor,"2021-12-30",0.56,"267",0,149.52,52,2021,12,30
SUP0170068,Productor,"2021-12-30",0.04,"267",0,10.68,52,2021,12,30
SUP0230091,Productor,"2021-12-30",2.25,"17",0,38.25,52,2021,12,30
SUP0020009,Productor,"2021-12-31",0.44,"116",0,51.04,52,2021,12,31
SUP0040040,Transporte,"2021-12-31",0.04,"184",0,7.36,52,2021,12,31
SUP0070043,Productor,"2021-12-31",0.4,"40",0,16.0,52,2021,12,31
SUP0080045,Productor,"2021-12-31",0.4,"40",0,16.0,52,2021,12,31
SUP0140044,Productor,"2021-12-31",0.46,"65",0,29.900000000000002,52,2021,12,31
SUP0090081,Productor,"2021-12-31",0.4,"52",0,20.8,52,2021,12,31
SUP0100080,Productor,"2021-12-31",0.4,"31",0,12.4,52,2021,12,31
SUP0110083,Productor,"2021-12-31",0.6,"369",0,221.4,52,2021,12,31
SUP0120053,Productor,"2021-12-31",0.58,"154",0,89.32,52,2021,12,31
SUP0170068,Productor,"2021-12-31",0.56,"277",0,155.12,52,2021,12,31
SUP0170068,Productor,"2021-12-31",0.04,"277",0,11.08,52,2021,12,31
SUP0230091,Productor,"2021-12-31",2.25,"20",0,45.0,52,2021,12,31
SUP0170068,Productor,"2021-12-29",0.56,"71",0,39.760000000000005,52,2021,12,29
SUP0170068,Productor,"2021-12-29",0.04,"71",0,2.84,52,2021,12,29
SUP0020009,Productor,"2021-12-20",0.44,"0.06",0,0.0264,51,2021,12,20
SUP0070043,Productor,"2021-12-20",0.4,"0.1",0,0.04000000000000001,51,2021,12,20
SUP0080045,Productor,"2021-12-20",0.4,"0.1",0,0.04000000000000001,51,2021,12,20
SUP0140044,Productor,"2021-12-20",0.46,"0.04",0,0.0184,51,2021,12,20
SUP0090081,Productor,"2021-12-20",0.4,"0.1",0,0.04000000000000001,51,2021,12,20
SUP0100080,Productor,"2021-12-20",0.4,"0.1",0,0.04000000000000001,51,2021,12,20
SUP0020009,Productor,"2021-12-21",0.44,"113",0,49.72,51,2021,12,21
SUP0040040,Transporte,"2021-12-21",0.04,"197",0,7.88,51,2021,12,21
SUP0070043,Productor,"2021-12-21",0.4,"40",0,16.0,51,2021,12,21
SUP0080045,Productor,"2021-12-21",0.4,"40",0,16.0,51,2021,12,21
SUP0140044,Productor,"2021-12-21",0.46,"82",0,37.72,51,2021,12,21
SUP0090081,Productor,"2021-12-21",0.4,"54",0,21.6,51,2021,12,21
SUP0100080,Productor,"2021-12-21",0.4,"33",0,13.200000000000001,51,2021,12,21
SUP0110083,Productor,"2021-12-21",0.6,"377",0,226.2,51,2021,12,21
SUP0120053,Productor,"2021-12-21",0.58,"156",0,90.47999999999999,51,2021,12,21
SUP0170068,Productor,"2021-12-21",0.56,"275",0,154.00000000000003,51,2021,12,21
SUP0170068,Productor,"2021-12-21",0.04,"275",0,11.0,51,2021,12,21
SUP0020009,Productor,"2021-12-22",0.44,"111",0,48.84,51,2021,12,22
SUP0040040,Transporte,"2021-12-22",0.04,"267",0,10.68,51,2021,12,22
SUP0070043,Productor,"2021-12-22",0.4,"32",0,12.8,51,2021,12,22
SUP0080045,Productor,"2021-12-22",0.4,"46",0,18.400000000000002,51,2021,12,22
SUP0140044,Productor,"2021-12-22",0.46,"75",0,34.5,51,2021,12,22
SUP0090081,Productor,"2021-12-22",0.4,"52",0,20.8,51,2021,12,22
SUP0100080,Productor,"2021-12-22",0.4,"34",0,13.600000000000001,51,2021,12,22
SUP0110083,Productor,"2021-12-22",0.6,"365",0,219.0,51,2021,12,22
SUP0120053,Productor,"2021-12-22",0.58,"148",0,85.83999999999999,51,2021,12,22
SUP0170068,Productor,"2021-12-22",0.56,"285",0,159.60000000000002,51,2021,12,22
SUP0170068,Productor,"2021-12-22",0.04,"285",0,11.4,51,2021,12,22
SUP0020009,Productor,"2021-12-23",0.44,"115",0,50.6,51,2021,12,23
SUP0040040,Transporte,"2021-12-23",0.04,"193",0,7.72,51,2021,12,23
SUP0070043,Productor,"2021-12-23",0.4,"40",0,16.0,51,2021,12,23
SUP0080045,Productor,"2021-12-23",0.4,"45",0,18.0,51,2021,12,23
SUP0140044,Productor,"2021-12-23",0.46,"76",0,34.96,51,2021,12,23
SUP0090081,Productor,"2021-12-23",0.4,"56",0,22.400000000000002,51,2021,12,23
